Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Nordrhein-Westfalen,Technische Universität Dortmund,Technische Universität Dortmund,TU Dortmund University,TU Dortmund University,https://ror.org/01k97gp34,grid.5675.1,grid.5675.1,NA,10274,NA,NA,NA,44221,Dortmund,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10274,,www.tu-dortmund.de/,Universität,Universität,university,www.ub.tu-dortmund.de/open-access/index.html.de,01.12.2020,,,01.12.2020,keine Hinweise,Dr. Kathrin Höhner,www.ub.tu-dortmund.de/open-access/index.html.de,01.12.2020,open-access@tu-dortmund.de,ja,01.04.2015,www.ub.tu-dortmund.de/open-access/index.html.de,,,,ja,DFG-Kofinanziert,ja,www.ub.tu-dortmund.de/open-access/index.html#foerderung,nein,,01.12.2020,keine Angabe zu Monografien/Sammelwerke,eldorado.tu-dortmund.de/?locale=de,,nein,,nein,,nein,,nein,01.12.2020
Nordrhein-Westfalen,Universität Bielefeld,Universität Bielefeld,Bielefeld University,Bielefeld University,https://ror.org/02hpadn98,grid.7491.b,grid.7491.b,NA,10280,Universitätsstraße,25,NA,33615,Bielefeld,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10280,,www.uni-bielefeld.de/,Universität,Universität,university,www.uni-bielefeld.de/ub/digital/oa/,24.11.2020,,,24.11.2020,keine Hinweise,Susanne Riedel,www.uni-bielefeld.de/ub/digital/oa/,24.11.2020,publikationsdienste.ub@uni-​bielefeld.de,ja,07.06.2005,www.uni-bielefeld.de/ub/digital/oa/resolution/,Resolution zur Unterstützung von Open Access,,,ja,DFG-Kofinanziert,ja,www.uni-bielefeld.de/ub/digital/fonds/,ja,www.uni-bielefeld.de/ub/digital/fonds/,24.11.2020,,pub.uni-bielefeld.de/,,nein,,ja,31.03.2016,nein,"Peter Weingart, 
 Dominik T. Mahr, Julia Marth, 
 Jan P. De, Daniel Frohn, Bertolt Lampe, 
 Aneas W.M. ess",nein,24.11.2020
Nordrhein-Westfalen,Universität Duisburg-Essen,Universität Duisburg-Essen,University of Duisburg-Essen,University of Duisburg-Essen,https://ror.org/04mz5ra38,grid.5718.b,grid.5718.b,NA,972220,Forsthausweg,2,NA,47057,Duisburg,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/972220,,www.uni-duisburg-essen.de,Universität,Universität,university,www.uni-due.de/ub/publikationsdienste/openaccess.php,24.11.2020,Katrin Falkenstein-Feldhoff,www.uni-due.de/ub/publikationsdienste/oa_foerderung.php,24.11.2020,,Katrin Falkenstein-Feldhoff,www.uni-due.de/ub/publikationsdienste/oa_foerderung.php,24.11.2020,openaccess.ub@uni-due.de4,ja,10.2012,www.uni-due.de/de/forschung/open_access.php,,,,ja,Eigenmittel,ja,www.uni-due.de/ub/publikationsdienste/oa_foerderung.php#artikel,ja,www.uni-due.de/ub/publikationsdienste/oa_foerderung.php#monografie,24.11.2020,,duepublico2.uni-due.de/content/index.xml,,ja,28.10.2014,nein,,nein,"Kadir Yildirim, Daniel Greb",nein,24.11.2020
Nordrhein-Westfalen,Universität Paderborn,Universität Paderborn,Paderborn University,University of Paderborn,https://ror.org/058kzsd48,grid.5659.f,grid.5659.f,NA,10278,Warburger Straße,100,NA,33098,Paderborn,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10278,,www.uni-paderborn.de,Universität,Universität,university,www.ub.uni-paderborn.de/unterstuetzung/open-access,24.11.2020,,,,keine Hinweise,,,01.12.2020,,nein,,,,,,nein,,,,,,01.12.2020,,digital.ub.uni-paderborn.de/ubpb,,nein,,nein,,nein,,nein,01.12.2020
Nordrhein-Westfalen,Universität Siegen,Universität Siegen,University of Siegen,University of Siegen,https://ror.org/02azyry73,grid.5836.8,grid.5836.8,NA,10291,Adolf-Reichwein-Straße,2a,NA,57076,Siegen,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10291,,www.uni-siegen.de/start/,Universität,Universität,university,www.ub.uni-siegen.de/index.php?id=o-a-publizieren,24.11.2020,,,24.11.2020,keine Hinweise,Open-Access-Team,www.ub.uni-siegen.de/index.php?id=1511#c8086,24.11.2020,oa@ub.uni-siegen.de,ja,30.03.2017,www.ub.uni-siegen.de/fileadmin/user_upload/pdf/OPUS/open-access-policy_der_universitaet_siegen.pdf,,,,ja,Eigenmittel,ja,www.ub.uni-siegen.de/index.php?id=1510,nein,,24.11.2020,keine Angabe zu Monografien/Sammelwerke,dspace.ub.uni-siegen.de/,,ja,08.03.2017,nein,,nein,Volker Michel,nein,24.11.2020
Nordrhein-Westfalen,Universität zu Köln,Universität zu Köln,University of Cologne,University of Cologne,https://ror.org/00rcxh774,grid.6190.e,grid.6190.e,NA,10282,Albertus-Magnus-Platz,NA,NA,50923,Köln,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10282,,www.uni-koeln.de/,Universität,Universität,university,www.ub.uni-koeln.de/forschen_publizieren/publizieren/open_access_publizieren/index_ger.html,01.12.2020,,,01.12.2020,keine Hinweise,Katja Halassy,www.ub.uni-koeln.de/forschen_publizieren/publizieren/open_access_publizieren/index_ger.html,01.12.2020,halassy@ub.uni-koeln.de,nein,,,,,,nein,,,,,,01.12.2020,,http://kups.ub.uni-koeln.de/,,nein,,nein,,nein,"Iris Schneider, 
 Björn Schumacher, 
 Maria Leptin, 
 Simone Natale, 
 Lena Ansmann, Kerstin Hoef-Emden, 
 Danny Gehlen, 
 Burkhard Becker, Argyris Papantonis, Ingo Rohlfing",nein,01.12.2020
Nordrhein-Westfalen,Zoologisches Forschungsmuseum Alexander Koenig,Zoologisches Forschungsmuseum Alexander Koenig,Zoological Research Museum Alexander Koenig (ZFMK),Zoological Research Museum Alexander Koenig,https://ror.org/00wz4b049,grid.452935.c,grid.452935.c,NA,10539,Adenauerallee,160,NA,53113,Bonn,"Mathematik, Naturwissenschaften",Biologie,Zoologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10539,www.zfmk.de/de,www.zfmk.de/de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Lasertechnik (ILT),Fraunhofer Institute for Laser Technology (ILT),NA,NA,NA,grid.461628.f,NA,10652,Steinbachstraße,15,NA,52074,Aachen,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Technische/angewandte Optik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10652,,www.ilt.fraunhofer.de,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Produktionstechnologie (IPT),Fraunhofer Institute for Production Technology (IPT),NA,NA,NA,grid.461634.2,NA,10662,Steinbachstraße,17,NA,52074,Aachen,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Produktions- und Fertigungstechnologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10662,,www.ipt.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Mikroelektronische Schaltungen und Systeme (IMS),Fraunhofer Institute for Microelectronic Circuits and Systems (IMS),NA,NA,NA,NA,NA,10664,Finkenstraße,61,NA,47057,Duisburg,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Mikrosystemtechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10664,,www.ims.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Materialfluss und Logistik (IML),Fraunhofer Institute for Material Flow and Logistics (IML),NA,NA,NA,grid.469827.6,NA,10677,Joseph-von-Fraunhofer-Straße,2-4,NA,44227,Dortmund,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Transport- und Verteiltechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10677,,www.iml.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Naturwissenschaftlich-Technische Trendanalysen (INT),Fraunhofer Institute for Technological Trend Analysis (INT),NA,NA,NA,NA,NA,10682,Appelsgarten,2,NA,53879,Euskirchen,"Mathematik, Naturwissenschaften","Mathematik, Naturwissenschaften allgemein",Interdisziplinäre Studien (Schwerpunkt Naturwissenschaft),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10682,,www.int.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,"Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik (UMSICHT)","Fraunhofer Institute for Environmental, Safety, and Energy Technology (UMSICHT)",NA,NA,NA,grid.424428.c,NA,10770,Osterfelder Straße,3,NA,46047,Oberhausen,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Umwelttechnik (einschl. Recycling),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10770,,www.umsicht.fraunhofer.de,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Algorithmen und Wissenschaftliches Rechnen (SCAI),Fraunhofer-Institute for Algorithms and Scientific Computing (SCAI),NA,NA,NA,grid.418688.b,NA,10796,Schloss Birlinghoven,NA,NA,53757,Sankt Augustin,"Mathematik, Naturwissenschaften",Mathematik,Reine Mathematik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10796,,www.scai.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Angewandte Informationstechnik (FIT),Fraunhofer Institute for Applied Information Technology (FIT),NA,NA,NA,NA,NA,10821,Schloss Birlinghoven,NA,NA,53757,Sankt Augustin,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Kommunikations- und Informationstechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10821,,www.fit.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Molekularbiologie und Angewandte Oekologie (IME),Fraunhofer Institute for Molecular Biology and Applied Ecology (IME),NA,NA,NA,grid.418010.c,NA,30554,Forckenbeckstraße,6,NA,52074,Aachen,"Mathematik, Naturwissenschaften",Biologie,Mikrobiologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/30554,,www.ime.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Software- und Systemtechnik (ISST),Fraunhofer Institute for Software and Systems Engineering (ISST),NA,NA,NA,grid.469821.0,NA,20765480,Emil-Figge-Straße,91,NA,44227,Dortmund,Ingenieurwissenschaften,Informatik,Angewandte Informatik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/20765480,,www.isst.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Hochfrequenzphysik und Radartechnik (FHR),Fraunhofer Institute for High Frequency Physics and Radar Techniques (FHR),NA,NA,NA,grid.461619.d,NA,20774582,Fraunhoferstraße,20,NA,53343,Wachtberg,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Physikalische Technik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/20774582,,www.fhr.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme (IAIS),Fraunhofer Institute for Intelligent Analysis and Information Systems (IAIS),NA,NA,NA,grid.469822.3,NA,39031799,Schloss Birlinghoven,NA,NA,53757,Sankt Augustin,Ingenieurwissenschaften,Informatik,Angewandte Informatik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/39031799,,www.iais.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,"Fraunhofer-Institut für Kommunikation, Informationsverarbeitung und Ergonomie (FKIE)","Fraunhofer Institute for Communication, Information Processing and Ergonomics (FKIE)",NA,NA,NA,grid.469836.6,NA,63894553,Fraunhoferstraße,20,NA,53343,Wachtberg,Ingenieurwissenschaften,Informatik,Angewandte Informatik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/63894553,,www.fkie.fraunhofer.de,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institut für Entwurfstechnik Mechatronik (IEM),Fraunhofer Institute for Mechatronic Systems Design (IEM),NA,NA,NA,grid.469868.d,NA,216344571,Zukunftsmeile,1,NA,33102,Paderborn,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Produktions- und Fertigungstechnologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/216344571,,www.iem.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Institutszentrum Schloss Birlinghoven (IZB),Fraunhofer Institute Centre Schloss Birlinghoven (IZB),NA,NA,NA,NA,NA,268226616,Schloss Birlinghoven,NA,NA,53754,Sankt Augustin,Ingenieurwissenschaften,Informatik,Informatik allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/268226616,,www.izb.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordrhein-Westfalen,NA,Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG,Fraunhofer Research Institution for Energy Infrastructures and Geothermal Systems IEG,NA,NA,NA,NA,NA,446762178,Lennershofstraße,140,NA,44801,Bochum,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Energietechnik (ohne Elektrotechnik),NA,NA,NA,http://www.gerit.org/de/institutiondetail/446762178,,www.ieg.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheinland-Pfalz,Leibniz-Institut für Europäische Geschichte (IEG),Leibniz-Institut für Europäische Geschichte (IEG),Leibniz Institute of European History (IEG),Leibniz Institute of European History,https://ror.org/059dyrr28,grid.461633.5,grid.461633.5,Q327772,10569,Alte Universitätsstraße,19,NA,55116,Mainz,Geisteswissenschaften,Geschichte,Geschichte allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10569,www.ieg-mainz.de,www.ieg-mainz.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.ieg-mainz.de/open_access_policy,26.02.2021,Dr. Ines Grund,http://www.ieg-mainz.de/media/public/Pressemitteilungen/IEG-OpenAccess-Policy.pdf,26.02.2021,,Dr. Joe Kroll,http://www.ieg-mainz.de/media/public/Pressemitteilungen/IEG-OpenAccess-Policy.pdf,26.02.2021,grund@ieg-mainz.de,ja,08.2018,https://www.ieg-mainz.de/open_access_policy,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Rheinland-Pfalz,Leibniz-Institut für Psychologie (ZPID),Leibniz-Institut für Psychologie (ZPID),Leibniz Institute for Psychology,Leibniz Institute for Psychology Information,https://ror.org/0165gz615,grid.470177.2,NA,Q1681243,972246,Universitätsring,15,NA,54296,Trier,"Rechts-, Wirtschafts- und Sozialwissenschaften",Psychologie,Psychologie allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/972246,www.leibniz-psychology.org/,www.leibniz-psychology.org/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://leibniz-psychology.org/sonstiges/open-access-policy/,26.02.2021,,,26.02.2021,keine Hinweise,Roland Ramthun,https://leibniz-psychology.org/sonstiges/open-access-policy/,26.02.2021,rr(at)leibniz-psychology.org,ja,08.08.2018,https://leibniz-psychology.org/sonstiges/open-access-policy/,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,https://www.psycharchives.org/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Rheinland-Pfalz,Leibniz-Institut für Resilienzforschung (LIR),Leibniz-Institut für Resilienzforschung (LIR),NA,Leibniz Institute for Resilience Research,https://ror.org/00q5t0010,grid.509458.5,NA,Q84938768,417993509,Wallstraße,7,NA,55122,Mainz,Humanmedizin/Gesundheitswissenschaften,Vorklinische Humanmedizin (einschl. Zahnmedizin),Medizinische Psychologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/417993509,www.lir-mainz.de/,www.lir-mainz.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Rheinland-Pfalz,Max-Planck-Institut für Chemie (Otto-Hahn-Institut),Max-Planck-Institut für Chemie (Otto-Hahn-Institut),Max Planck Institute for Chemistry (Otto Hahn Institute),Max Planck Institute for Chemistry,https://ror.org/02f5b7n18,grid.419509.0,grid.419509.0,Q832808,10333,Hahn-Meitner-Weg,1,NA,55128,Mainz,"Mathematik, Naturwissenschaften",Chemie,Chemie allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10333,www.mpic.de/,www.mpic.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.mpic.de/4136348/open-access,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Rheinland-Pfalz,Max-Planck-Institut für Polymerforschung,Max-Planck-Institut für Polymerforschung,Max Planck Institute for Polymer Research,Max Planck Institute for Polymer Research,https://ror.org/00sb7hc59,grid.419547.a,grid.419547.a,Q876629,10334,Ackermannweg,10,NA,55128,Mainz,"Mathematik, Naturwissenschaften","Physik, Astronomie",Materialphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10334,www.mpip-mainz.mpg.de,www.mpip-mainz.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Rheinland-Pfalz,"Max-Planck-Institut für Softwaresysteme, Standort Kaiserslautern Kaiserslautern",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://www.mpg.de/914864/softwaresysteme_kaiserslautern,,Forschungsorganisation: Max-Planck-Gesellschaft,,,,01.03.0201,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Rheinland-Pfalz,Römisch-Germanisches Zentralmuseum (RGZM) - Leibniz-Forschungsinstitut für Archäologie,Römisch-Germanisches Zentralmuseum (RGZM) - Leibniz-Forschungsinstitut für Archäologie,Roman-Germanic Central Museum (RGZM) Leibniz Research Institute for Archaeology,Romano-Germanic Central Museum,https://ror.org/0483qx226,grid.461784.8,grid.461784.8,Q878029,10472,Ernst-Ludwig-Platz,2,NA,55116,Mainz,Geisteswissenschaften,Geschichte,Alte Geschichte,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10472,www.web.rgzm.de/,www.web.rgzm.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://web.rgzm.de/publikationen/rgzm-open-access/,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Rheinland-Pfalz,Technische Universität Kaiserslautern,Technische Universität Kaiserslautern,University of Kaiserslautern,University of Kaiserslautern,https://ror.org/04zrf7b53,grid.7645.0,grid.7645.0,NA,10325,NA,NA,Postfach 3049,67653,Kaiserslautern,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10325,,www.uni-kl.de/startseite/,Universität,Universität,university,www.ub.uni-kl.de/schreiben-publizieren/open-access/,01.12.2020,Dipl.-Kult. Julia Heitmann-Pletsch,www.ub.uni-kl.de/schreiben-publizieren/open-access/,01.12.2020,,Dipl.-Kult. Julia Heitmann-Pletsch,www.ub.uni-kl.de/schreiben-publizieren/open-access/,01.12.2020,openaccess(at)ub.uni-kl.de,ja,,www.ub.uni-kl.de/fileadmin/ub/pdf/Open_Access/TU_KL_Open-Access-Policy.pdf,keine Datumsangabe,,,ja,DFG-Kofinanziert,ja,www.ub.uni-kl.de/schreiben-publizieren/open-access/foerderungfinanzierung-von-oa-publikationen/#c12181,nein,,01.12.2020,keine Angabe zu Monografien/Sammelwerken,kluedo.ub.uni-kl.de/home,,ja,03.03.2016,nein,,nein,"Rainer Wirth, 
 Burkhard Willi Buedel, 
 Burcin Erocal",nein,01.12.2020
Rheinland-Pfalz,Universität Koblenz-Landau,Universität Koblenz-Landau,University of Koblenz-Landau,University of Koblenz and Landau,https://ror.org/01j9f6752,grid.5892.6,grid.5892.6,NA,10465,Rhabanusstraße,3,NA,55118,Mainz,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10465,,www.uni-koblenz-landau.de,Universität,Universität,university,www.uni-koblenz-landau.de/de/bibliothek/publizieren/open-access,01.12.2020,,,01.12.2020,keine Hinweise,Open-Access-Kontakt,www.uni-koblenz-landau.de/de/bibliothek/publizieren/open-access/oapublikationsfonds,01.12.2020,openaccess@uni-koblenz-landau.de,nein,,,,,,ja,Eigenmittel,ja,www.uni-koblenz-landau.de/de/bibliothek/publizieren/open-access/oapublikationsfonds,nein,,01.12.2020,keine Angabe zu Monografien/Sammelwerken,kola.opus.hbz-nrw.de/home,,nein,,nein,,nein,"Roxanne Sopp, Wolfgang Imhof, Ines Schindler",nein,01.12.2020
